剧本ID,剧目名称,剧目类别,内容量权重,网络密度,度中心化,网络节点数,网络边数估计,二值网络密度,平均边权,最大边权,发言轮次,场次数,角色数,角色列表,页数,字符数,文件路径,主角色关系,角色关系集合,主主题,主题集合,闭环ID集合,叙事结构线集合,波动型集合,关系演化结局集合,主闭环ID,主叙事结构线,主波动型,主关系演化结局,公案戏得分,家庭戏得分,江湖戏得分,历史戏得分,神怪戏得分,网络计算方法,数据说明
02008044,百箭会,历史戏,29.45,0.2214,0.5705,12,27,0.4091,0.5412,1.0,143,2,12,杨延昭；赵德芳；佘太君；宋太宗；四校尉；大太监；二校尉；王强；杨洪；二彩女；胡必显；四朝臣,6,7695,02000000/02008044_百箭会.pdf,亲属关系,亲属关系|权力关系|冲突关系,政治权力,政治权力|家庭亲情|战争武略|公案冤狱|恩怨报偿,loop-002|loop-000|loop-010|loop-011|loop-026|loop-032|loop-033|loop-050,后峰型|平稳型|中峰型,后峰-终局和解|平稳-循环回归|后峰-压轴报偿|后峰-末端清算|后峰-结尾爆发|中峰-中段审判,亲情牺牲|亲缘团圆|名节昭彰|主从归顺|功名显达|权谋败露|复仇完成,loop-002,后峰型,后峰-终局和解,亲情牺牲,45,43,7,78,5,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
02008048,三岔口,历史戏,26.62,0.1848,0.2321,9,16,0.4444,0.4158,0.9724,143,7,9,任堂惠；刘立华；焦赞；刘妻；解子；杨延昭；中军；四上手；禁子,5,5378,02000000/02008048_三岔口.pdf,亲属关系,亲属关系|婚恋关系|权力关系,家庭亲情,家庭亲情|文人世情|战争武略|政治权力|礼教品格,loop-002|loop-000|loop-005|loop-003|loop-015|loop-023|loop-019|loop-031,后峰型|平稳型|多峰型|中峰型,后峰-终局和解|平稳-循环回归|后峰-迟来显义|平稳-低振守常|多峰-连环误会|中峰-中段伦理压迫|中峰-中段征战,亲情牺牲|亲缘团圆|宗族复位|代际和解|婚恋错失|婚恋成全|贞节守义|权谋败露,loop-002,后峰型,后峰-终局和解,亲情牺牲,0,30,18,32,1,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
02008052,九龙峪,历史戏,33.55,0.1455,0.3734,18,51,0.3333,0.4364,0.9992,182,8,18,詹重阳；杨延昭；柴郡主；詹免；詹尤吉；小军；王夫人；赵德芳；四文堂；柴干；陈琳；四小军；报子；洒纳金；洒纳银；探子；鞠化龙；四大铠,8,8410,02000000/02008052_九龙峪.pdf,权力关系,权力关系|冲突关系|亲属关系,战争武略,战争武略|政治权力|家庭亲情|恩怨报偿|善恶转化,loop-030|loop-031|loop-026|loop-024|loop-049|loop-054|loop-059|loop-000,多峰型|中峰型|后峰型|前锋型|平稳型,多峰-连战递进|中峰-中段征战|后峰-末端清算|前锋-开端突发|多峰-恩怨反复|平稳-余波消解|平稳-循环回归,主从归顺|权谋败露|君臣尽忠|敌对和解|复仇完成|敌对消灭|亲缘团圆,loop-030,多峰型,多峰-连战递进,主从归顺,1,58,1,87,3,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
02008054,双挂印,历史戏,33.43,0.1611,0.2058,14,36,0.3956,0.4071,1.0,276,6,14,穆桂英；白氏；杨宗保；孟良；焦赞；白天佐；丑中军；鲁雄；报子；丫头；四兵丁；三兵丁；兵丁甲；耶律彪,10,11913,02000000/02008054_双挂印.pdf,冲突关系,冲突关系|亲属关系|婚恋关系,战争武略,战争武略|家庭亲情|恩怨报偿|婚恋姻缘|文人世情,loop-048|loop-049|loop-056|loop-054|loop-000|loop-010|loop-016|loop-012,多峰型|中峰型|后峰型|平稳型|前锋型,多峰-连战递进|中峰-中段征战|后峰-末端清算|多峰-恩怨反复|平稳-循环回归|后峰-压轴报偿|前锋-先决裂后修补|中峰-中段离合,敌对消灭|敌对和解|善恶翻转|复仇完成|亲缘团圆|名节昭彰|夫妻重圆|婚恋成全,loop-048,多峰型,多峰-连战递进,敌对消灭,4,27,9,88,0,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
02008056,八盘山,历史戏,49.98,0.09,0.2767,39,135,0.1822,0.4939,1.0,446,17,39,杨延顺；萧太后；青莲公主；杨延昭；岩洞宾；韩昌；蔡秀英；孟金榜；报子；四下手；耶律学古；耶律休哥；女旗牌；萧天佐；萧天佑；扎灵特；达子；阿姐；阿哥；达子甲；达婆；柴干；焦赞；陈林；四上手；孟良；佘太君；四女兵；杨宗保；小军；阿达特；小番甲；小番乙；四达婆；达婆甲；四达子；二达子；嫫嫫；碧莲公主,17,19916,02000000/02008056_八盘山.pdf,亲属关系,亲属关系|权力关系|冲突关系,战争武略,战争武略|政治权力|家庭亲情|恩怨报偿|公案冤狱,loop-002|loop-000|loop-010|loop-011|loop-030|loop-025|loop-033|loop-048,后峰型|平稳型|多峰型|中峰型,后峰-终局和解|平稳-循环回归|后峰-压轴报偿|后峰-末端清算|多峰-连战递进|中峰-中段计谋|中峰-中段审判,亲情牺牲|亲缘团圆|名节昭彰|主从归顺|权力更替|权谋败露|敌对消灭,loop-030,多峰型,多峰-连战递进,主从归顺,2,42,2,103,3,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
02008060,双沙河【头本】,家庭戏,27.69,0.1946,0.3441,9,15,0.4167,0.467,0.9457,141,6,9,杨仙童；高能；卫小申；毗卢大仙；玉芙蓉；护法；高院子；卫院子；兵卒,7,7063,02000000/02008060_双沙河【头本】.pdf,亲属关系,亲属关系|冲突关系,家庭亲情,家庭亲情|战争武略|礼教品格|恩怨报偿|除暴侠义,loop-002|loop-000|loop-003|loop-004|loop-010|loop-048|loop-055|loop-052,后峰型|平稳型|中峰型|多峰型,后峰-终局和解|平稳-循环回归|平稳-低振守常|中峰-中段伦理压迫|后峰-压轴报偿|多峰-连战递进|中峰-中段征战,亲情牺牲|亲缘团圆|代际和解|名节昭彰|敌对消灭|阵营转投|复仇完成,loop-002,后峰型,后峰-终局和解,亲情牺牲,0,84,4,43,33,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
02008061,双沙河【二本】,历史戏,24.12,0.1912,0.1046,7,9,0.4286,0.4462,0.9437,111,6,7,杨仙童；高能；卫小申；玉珍公主；玉宝公主；张天龙；旗牌,4,3964,02000000/02008061_双沙河【二本】.pdf,冲突关系,冲突关系|亲属关系|权力关系,战争武略,战争武略|家庭亲情|政治权力|恩怨报偿|礼教品格,loop-050|loop-048|loop-054|loop-055|loop-001|loop-010|loop-005|loop-030,后峰型|多峰型|前锋型,后峰-结尾爆发|多峰-连战递进|多峰-恩怨反复|后峰-压轴报偿|前锋-先决裂后修补|后峰-迟来显义,复仇完成|敌对消灭|阵营转投|代际和解|名节昭彰|宗族复位|主从归顺,loop-050,后峰型,后峰-结尾爆发,复仇完成,4,24,1,56,16,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
02009020,路遥知马力,家庭戏,44.2,0.088,0.3697,26,60,0.1846,0.4766,1.0,670,27,26,路遥；马力；日久；乌雅叉；杨宗保；旗牌；张不德；张兴；路福；路虎；张氏；马母；江旺；路龙；路由；真武大帝；众百姓；家院；马汉；四龙套；包拯；四宋将；中军；店家；路寿；四青袍,22,25630,02000000/02009020_路遥知马力.pdf,亲属关系,亲属关系,家庭亲情,家庭亲情|礼教品格|恩怨报偿,loop-001|loop-002|loop-003|loop-004|loop-010,前锋型|后峰型|平稳型|中峰型,前锋-先决裂后修补|后峰-终局和解|平稳-低振守常|中峰-中段伦理压迫|后峰-压轴报偿,代际和解|亲情牺牲|名节昭彰,loop-001,前锋型,前锋-先决裂后修补,代际和解,16,88,27,46,7,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
02009026,林冲夜奔,江湖戏,15.83,0.5792,0.0,2,1,1.0,0.5792,0.5792,5,1,2,林冲；神圣,2,2485,02000000/02009026_林冲夜奔.pdf,亲属关系,亲属关系|权力关系|同盟关系,家庭亲情,家庭亲情|战争武略|礼教品格|政治权力|恩怨报偿,loop-002|loop-000|loop-004|loop-005|loop-009|loop-031|loop-025|loop-041,后峰型|平稳型|中峰型|多峰型,后峰-终局和解|平稳-循环回归|中峰-中段伦理压迫|后峰-迟来显义|多峰-恩怨反复|中峰-中段征战|中峰-中段计谋|后峰-结尾爆发,亲情牺牲|亲缘团圆|宗族复位|权谋败露|权力更替|阵营转投,loop-002,后峰型,后峰-终局和解,亲情牺牲,1,13,71,20,28,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
02009029,灵官殿,历史戏,24.23,0.3971,0.3797,4,4,0.6667,0.5957,0.9788,129,3,4,刘唐；酒保；朱仝；雷横,5,5595,02000000/02009029_灵官殿.pdf,同盟关系,同盟关系|亲属关系|权力关系,战争武略,战争武略|家庭亲情|除暴侠义|礼教品格|忠义家国,loop-040|loop-041|loop-044|loop-042|loop-037|loop-002|loop-005|loop-008,中峰型|后峰型|前锋型|多峰型,中峰-中段征战|后峰-结尾爆发|后峰-压轴报偿|前锋-早峰回落|后峰-终局和解|后峰-迟来显义|多峰-连战递进,义助功成|阵营转投|君臣尽忠|同盟破裂|亲情牺牲|宗族复位|名节昭彰,loop-040,中峰型,中峰-中段征战,义助功成,2,14,6,35,20,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
02009035,快活林,江湖戏,26.5,0.3353,0.4887,7,14,0.6667,0.503,0.9991,184,2,7,武松；蒋忠；蛮子；老西；陆怀；女主人；四下手,5,5991,02000000/02009035_快活林.pdf,亲属关系,亲属关系|权力关系,家庭亲情,家庭亲情|政治权力|礼教品格|恩怨报偿|忠义家国,loop-002|loop-000|loop-005|loop-003|loop-010|loop-026|loop-028,后峰型|平稳型,后峰-终局和解|平稳-循环回归|后峰-迟来显义|平稳-低振守常|后峰-压轴报偿|后峰-末端清算,亲情牺牲|亲缘团圆|宗族复位|代际和解|名节昭彰|主从归顺,loop-002,后峰型,后峰-终局和解,亲情牺牲,1,39,48,18,6,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
02009040,红桃山,历史戏,24.61,0.0705,0.1883,14,15,0.1648,0.4278,0.8745,53,11,14,郑玉娥；林冲；关胜；四下手；余龙；四青旗；探子；四红旗；报子；火星；四火旗；花荣；四喽兵；众兵卒,3,2716,02000000/02009040_红桃山.pdf,冲突关系,冲突关系,战争武略,战争武略|除暴侠义|恩怨报偿|善恶转化,loop-049|loop-050|loop-052|loop-053|loop-055,中峰型|后峰型,中峰-中段征战|后峰-结尾爆发|后峰-压轴报偿,敌对和解|复仇完成|阵营转投,loop-049,中峰型,中峰-中段征战,敌对和解,0,13,63,71,3,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
02009041,百花庄,江湖戏,33.5,0.1195,0.1532,18,41,0.268,0.446,0.9974,178,9,18,白天章；白月娥；燕青；李逵；时迁；院子；郑天寿；众家将；大家将；三家将；众人；四丫鬟；李俊；李忠；童威；刘唐；宋江；四女兵,9,9045,02000000/02009041_百花庄.pdf,亲属关系,亲属关系,家庭亲情,家庭亲情|礼教品格|恩怨报偿|忠义家国,loop-001|loop-002|loop-003|loop-004|loop-009,前锋型|后峰型|平稳型|中峰型|多峰型,前锋-先决裂后修补|后峰-终局和解|平稳-低振守常|中峰-中段伦理压迫|多峰-恩怨反复,代际和解|亲情牺牲|宗族复位,loop-001,前锋型,前锋-先决裂后修补,代际和解,0,41,68,30,10,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
02010002,夺锦标【全本】,江湖戏,54.41,0.0947,0.2688,41,214,0.261,0.3628,1.0,332,1,41,宋江；石秀；栾廷玉；老人；小儿；杨林；秦明；刘唐；金头虎；银头虎；林冲；花荣；黄信；董平；孙立；李逵；郭胜；孙新；吕方；杨雄；焦挺；朱贵；顾大嫂；孙二娘；公孙胜；吴用；八喽啰；四庄丁；祝彪；众百姓；庄丁甲；鬼王；八骷髅；风神；花云；祝龙；祝虎；扈三娘；女兵甲；老者；四喽啰,23,22091,02000000/02010002_夺锦标【全本】.pdf,亲属关系,亲属关系|冲突关系|同盟关系,战争武略,战争武略|家庭亲情|礼教品格|忠义家国|恩怨报偿,loop-001|loop-002|loop-005|loop-003|loop-006|loop-048|loop-056|loop-041,前锋型|后峰型|平稳型|多峰型,前锋-先决裂后修补|后峰-终局和解|后峰-迟来显义|平稳-低振守常|多峰-连战递进|后峰-末端清算|后峰-结尾爆发,代际和解|亲情牺牲|宗族复位|敌对消灭|善恶翻转|阵营转投,loop-048,多峰型,多峰-连战递进,敌对消灭,0,24,109,84,1,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
02010003,扈家庄,历史戏,34.27,0.1752,0.3904,18,70,0.4575,0.3829,0.9995,111,12,18,扈三娘；林冲；吴用；宋江；李逵；花荣；邓飞；马麟；欧鹏；戴宗；穆弘；王英；众人；军卒；报子；庄兵；探子；众将,9,10157,02000000/02010003_扈家庄.pdf,冲突关系,冲突关系|亲属关系|同盟关系,战争武略,战争武略|家庭亲情|礼教品格|善恶转化|政治权力,loop-050|loop-048|loop-057|loop-058|loop-001|loop-005|loop-040|loop-046,后峰型|多峰型|中峰型|前锋型,后峰-结尾爆发|多峰-连战递进|中峰-中段悟转|后峰-后段反转|前锋-先决裂后修补|后峰-迟来显义|中峰-中段征战|中峰-中段计谋,复仇完成|敌对消灭|阵营转投|善恶翻转|代际和解|宗族复位|义助功成|君臣尽忠,loop-050,后峰型,后峰-结尾爆发,复仇完成,0,38,80,100,6,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
02010009,龙虎玉,江湖戏,44.05,0.0613,0.1262,38,119,0.1693,0.362,0.9984,202,9,38,张顺；宋江；李俊；张横；阮小七；鲁智深；武松；李逵；燕青；史进；石秀；花荣；柴进；孙二娘；顾大嫂；扈三娘；玉花娘；关胜；林冲；秦明；呼延灼；董平；卢俊义；吴用；众人；祖思元；家院；方腊；方天定；军卒；杜色；花豹刀；郝思文；下手甲；下手乙；四下手；龙王；报子,9,8381,02000000/02010009_龙虎玉.pdf,亲属关系,亲属关系|冲突关系|权力关系,战争武略,战争武略|家庭亲情|政治权力|善恶转化|忠义家国,loop-001|loop-002|loop-007|loop-008|loop-049|loop-058|loop-030|loop-024,前锋型|后峰型|多峰型|中峰型,前锋-先决裂后修补|后峰-终局和解|后峰-压轴报偿|多峰-连战递进|中峰-中段征战|后峰-后段反转|前锋-开端突发,代际和解|亲情牺牲|宗族复位|名节昭彰|敌对和解|善恶翻转|主从归顺|君臣尽忠,loop-049,中峰型,中峰-中段征战,敌对和解,3,25,148,109,7,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
02010010,擒方腊,江湖戏,36.16,0.1344,0.3262,22,73,0.316,0.4254,0.9814,165,14,22,宋江；武松；张顺；龙王；四文堂；燕青；吴用；李俊；玉花娘；李逵；众人；方天定；石宝；报子；张横；柴进；包道乙；郑彪；方腊；卢俊义；史进；鲁智深,9,9139,02000000/02010010_擒方腊.pdf,亲属关系,亲属关系|冲突关系|权力关系,战争武略,战争武略|家庭亲情|政治权力|恩怨报偿|礼教品格,loop-001|loop-002|loop-009|loop-010|loop-003|loop-049|loop-055|loop-032,前锋型|后峰型|多峰型|平稳型|中峰型,前锋-先决裂后修补|后峰-终局和解|多峰-恩怨反复|后峰-压轴报偿|平稳-低振守常|中峰-中段征战|后峰-结尾爆发,代际和解|亲情牺牲|宗族复位|名节昭彰|敌对和解|阵营转投|功名显达,loop-049,中峰型,中峰-中段征战,敌对和解,4,31,116,89,10,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
02010016,娘子军,历史戏,28.97,0.1442,0.2472,17,45,0.3309,0.4357,0.9952,72,9,17,韩世忠；梁红玉；韩彦直；金兀术；郭巡；李义；任尚；暴永；龙虎大王；铁龙；铁虎；铁豹；铁熊；众人；四女将；女将甲；中军,5,4178,02000000/02010016_娘子军.pdf,冲突关系,冲突关系|亲属关系|婚恋关系,战争武略,战争武略|家庭亲情|礼教品格|忠义家国|婚恋姻缘,loop-049|loop-050|loop-002|loop-000|loop-004|loop-008|loop-016|loop-019,中峰型|后峰型|平稳型|多峰型|前锋型,中峰-中段征战|后峰-结尾爆发|后峰-终局和解|平稳-循环回归|中峰-中段伦理压迫|多峰-连战递进|前锋-先决裂后修补,敌对和解|复仇完成|亲情牺牲|亲缘团圆|名节昭彰|夫妻重圆|贞节守义,loop-049,中峰型,中峰-中段征战,敌对和解,0,34,6,80,3,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
02010018,雄州关,历史戏,29.05,0.1744,0.3426,12,27,0.4091,0.4264,0.9635,117,11,12,韩世忠；韩彦直；孙浩；金兀术；呼呔狄；雷洪切；达林呈；季乐芬；探马；中军；四将；四军士,6,7444,02000000/02010018_雄州关.pdf,冲突关系,冲突关系|权力关系|亲属关系,战争武略,战争武略|家庭亲情|恩怨报偿|政治权力|忠义家国,loop-050|loop-048|loop-054|loop-055|loop-032|loop-024|loop-028|loop-000,后峰型|多峰型|前锋型|平稳型,后峰-结尾爆发|多峰-连战递进|多峰-恩怨反复|后峰-压轴报偿|前锋-开端突发|平稳-循环回归,复仇完成|敌对消灭|阵营转投|功名显达|君臣尽忠|主从归顺|亲缘团圆,loop-050,后峰型,后峰-结尾爆发,复仇完成,0,25,2,79,10,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
02010024,洞庭湖,历史戏,46.07,0.1241,0.4374,30,128,0.2943,0.4216,1.0,440,20,30,岳飞；王佐；严成方；罗延庆；岳云；杨再兴；杨么；报子；严奇；张显；何元庆；张保；王横；王贵；戚方；四上手；四大铠；王成亮；彰显；四白大铠；四蓝文堂；屈元公；余尚敬；伍尚志；杨钦；韩世忠；牛皋；传旨官；探子；杨凡,17,18787,02000000/02010024_洞庭湖.pdf,冲突关系,冲突关系|亲属关系|同盟关系,战争武略,战争武略|家庭亲情|善恶转化|政治权力|恩怨报偿,loop-050|loop-048|loop-057|loop-058|loop-056|loop-000|loop-010|loop-040,后峰型|多峰型|中峰型|平稳型,后峰-结尾爆发|多峰-连战递进|中峰-中段悟转|后峰-后段反转|后峰-末端清算|平稳-循环回归|后峰-压轴报偿|中峰-中段征战,复仇完成|敌对消灭|阵营转投|善恶翻转|亲缘团圆|名节昭彰|义助功成,loop-050,后峰型,后峰-结尾爆发,复仇完成,0,46,23,77,1,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
02010032,狮吼记,家庭戏,39.07,0.298,0.5176,14,47,0.5165,0.577,1.0,623,1,14,柳氏；陈慥；苏轼；苏苍头；二衙役；知县；土地；土地奶奶；佛印；院子；琴操；陈苍头；衙役甲；知县夫人,22,26080,02000000/02010032_狮吼记.pdf,亲属关系,亲属关系|权力关系|婚恋关系,文人世情,文人世情|家庭亲情|政治权力|恩怨报偿|礼教品格,loop-002|loop-000|loop-009|loop-010|loop-004|loop-024|loop-023|loop-016,后峰型|平稳型|多峰型|中峰型|前锋型,后峰-终局和解|平稳-循环回归|多峰-恩怨反复|后峰-压轴报偿|中峰-中段伦理压迫|前锋-开端突发|多峰-连环误会|前锋-先决裂后修补,亲情牺牲|亲缘团圆|宗族复位|名节昭彰|君臣尽忠|婚恋成全|夫妻重圆,loop-002,后峰型,后峰-终局和解,亲情牺牲,2,40,0,20,10,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
02010034,大悲楼,神怪戏,42.61,0.0672,0.3311,34,82,0.1462,0.46,0.9898,205,18,34,济公；华云龙；云飞；韩秀；王通；雷鸣；陈亮；孙太立；杨明；张振邦；法元僧；侯三；何清；观音；四大天王；四大金刚；华清风；八小老道；丑老道；丧门吊客；八鬼卒；刘元彪；徐天义；大和尚；二和尚；四金刚；四下手；杨志；苗庆；安道士；刘应庆；孙振邦；八道童；喽兵,12,11834,02000000/02010034_大悲楼.pdf,同盟关系,同盟关系|亲属关系|权力关系,家庭亲情,家庭亲情|除暴侠义|恩怨报偿|政治权力|战争武略,loop-042|loop-043|loop-047|loop-045|loop-040|loop-002|loop-009|loop-025,前锋型|中峰型|后峰型|多峰型,前锋-早峰回落|中峰-中段征战|后峰-末端清算|前锋-开端突发|后峰-终局和解|多峰-恩怨反复|中峰-中段计谋,义助功成|阵营转投|结义同心|亲情牺牲|宗族复位|权力更替,loop-002,后峰型,后峰-终局和解,亲情牺牲,5,26,44,40,50,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
02010037,鬼辩,历史戏,19.64,0.6038,0.3124,4,6,1.0,0.6038,0.9829,22,1,4,李慧娘；贾似道；二院子；众人,3,3136,02000000/02010037_鬼辩.pdf,亲属关系,亲属关系|同盟关系,家庭亲情,家庭亲情|战争武略|恩怨报偿|政治权力|礼教品格,loop-002|loop-000|loop-009|loop-010|loop-003|loop-041|loop-045,后峰型|平稳型|多峰型|前锋型,后峰-终局和解|平稳-循环回归|多峰-恩怨反复|后峰-压轴报偿|平稳-低振守常|后峰-结尾爆发|前锋-开端突发,亲情牺牲|亲缘团圆|宗族复位|名节昭彰|代际和解|阵营转投,loop-002,后峰型,后峰-终局和解,亲情牺牲,4,25,0,26,20,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
02011012,采石矶,历史戏,27.96,0.267,0.3512,11,32,0.5818,0.459,0.8943,120,3,11,徐达；常遇春；郭英；李文忠；胡大海；传令官；元大将；中军；众士卒；铁木耳；众人,6,5531,02000000/02011012_采石矶.pdf,冲突关系,冲突关系|权力关系,战争武略,战争武略|政治权力|忠义家国|除暴侠义|善恶转化,loop-050|loop-048|loop-051|loop-052|loop-057|loop-031|loop-025|loop-028,后峰型|多峰型|前锋型|中峰型,后峰-结尾爆发|多峰-连战递进|前锋-早峰回落|中峰-中段征战|中峰-中段悟转|中峰-中段计谋|后峰-压轴报偿,复仇完成|敌对消灭|敌对和解|阵营转投|权谋败露|权力更替|主从归顺,loop-050,后峰型,后峰-结尾爆发,复仇完成,0,1,7,50,4,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
02011021,飞坡岛,神怪戏,29.63,0.1,0.1768,16,33,0.275,0.3635,0.9958,96,9,16,济小塘；赤云仙姑；青云仙姑；浮云仙姑；鲇鱼姥姥；秦氏；家院；缴承光；苗庆；三太子；金蛟大王；报子；二水怪；柳仙；福禄；五鬼,5,5862,02000000/02011021_飞坡岛.pdf,亲属关系,亲属关系|同盟关系|权力关系,家庭亲情,家庭亲情|礼教品格|恩怨报偿|除暴侠义|政治权力,loop-000|loop-001|loop-003|loop-004|loop-009|loop-042|loop-047|loop-024,平稳型|前锋型|中峰型|多峰型|后峰型,平稳-循环回归|前锋-先决裂后修补|平稳-低振守常|中峰-中段伦理压迫|多峰-恩怨反复|前锋-早峰回落|后峰-末端清算|前锋-开端突发,亲缘团圆|代际和解|亲情牺牲|宗族复位|义助功成|结义同心|君臣尽忠,loop-000,平稳型,平稳-循环回归,亲缘团圆,0,42,39,30,59,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
02011040,宁武关【头、二本】,历史戏,27.11,0.3402,0.3809,8,23,0.8214,0.4142,0.9966,94,4,8,周遇吉；李洪基；李自成；宋献策；一支虎；四上手；四龙套；兵卒,6,7591,02000000/02011040_宁武关【头、二本】.pdf,冲突关系,冲突关系|亲属关系|权力关系,战争武略,战争武略|家庭亲情|政治权力|善恶转化|除暴侠义,loop-049|loop-050|loop-057|loop-058|loop-051|loop-002|loop-030|loop-025,中峰型|后峰型|前锋型|多峰型,中峰-中段征战|后峰-结尾爆发|中峰-中段悟转|后峰-后段反转|前锋-早峰回落|后峰-终局和解|多峰-连战递进|中峰-中段计谋,敌对和解|复仇完成|阵营转投|善恶翻转|亲情牺牲|主从归顺|权力更替,loop-049,中峰型,中峰-中段征战,敌对和解,0,30,36,103,6,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
